(Min Avg: ABACK - 532.01, Min Max: ABACK - 925)   ABACK - Avg: 532.01, Max: 925
(Min Avg: ABASE - 197.92, Min Max: ABASE - 422)   ABASE - Avg: 197.92, Max: 422
(Min Avg: ABATE - 197.09, Min Max: ABATE - 418)   ABATE - Avg: 197.09, Max: 418
(Min Avg: ABATE - 197.09, Min Max: ABATE - 418)   ABBEY - Avg: 259.53, Max: 442
(Min Avg: ABATE - 197.09, Min Max: ABATE - 418)   ABBOT - Avg: 284.68, Max: 541
(Min Avg: ABHOR - 164.19, Min Max: ABHOR - 378)   ABHOR - Avg: 164.19, Max: 378
(Min Avg: ABIDE - 137.22, Min Max: ABIDE - 298)   ABIDE - Avg: 137.22, Max: 298
(Min Avg: ABIDE - 137.22, Min Max: ABIDE - 298)   ABLED - Avg: 150.40, Max: 380
(Min Avg: ABODE - 135.58, Min Max: ABODE - 292)   ABODE - Avg: 135.58, Max: 292
(Min Avg: ABORT - 124.43, Min Max: ABODE - 292)   ABORT - Avg: 124.43, Max: 333
(Min Avg: ABORT - 124.43, Min Max: ABODE - 292)   ABOUT - Avg: 166.43, Max: 368
(Min Avg: ABORT - 124.43, Min Max: ABODE - 292)   ABOVE - Avg: 168.65, Max: 326
(Min Avg: ABORT - 124.43, Min Max: ABUSE - 274)   ABUSE - Avg: 128.01, Max: 274
(Min Avg: ABORT - 124.43, Min Max: ABUSE - 274)   ABYSS - Avg: 392.76, Max: 682
(Min Avg: ACORN - 119.07, Min Max: ABUSE - 274)   ACORN - Avg: 119.07, Max: 315
(Min Avg: ACORN - 119.07, Min Max: ABUSE - 274)   ACRID - Avg: 140.97, Max: 343
(Min Avg: ACTOR - 108.28, Min Max: ABUSE - 274)   ACTOR - Avg: 108.28, Max: 294
(Min Avg: ACUTE - 102.45, Min Max: ACUTE - 231)   ACUTE - Avg: 102.45, Max: 231
(Min Avg: ACUTE - 102.45, Min Max: ACUTE - 231)   ADAGE - Avg: 248.30, Max: 504
(Min Avg: ACUTE - 102.45, Min Max: ACUTE - 231)   ADAPT - Avg: 302.11, Max: 630
(Min Avg: ACUTE - 102.45, Min Max: ACUTE - 231)   ADEPT - Avg: 133.80, Max: 308
(Min Avg: ACUTE - 102.45, Min Max: ACUTE - 231)   ADMIN - Avg: 217.67, Max: 499
(Min Avg: ACUTE - 102.45, Min Max: ACUTE - 231)   ADMIT - Avg: 180.49, Max: 440
(Min Avg: ACUTE - 102.45, Min Max: ACUTE - 231)   ADOBE - Avg: 136.25, Max: 292
(Min Avg: ACUTE - 102.45, Min Max: ACUTE - 231)   ADOPT - Avg: 156.59, Max: 383
(Min Avg: ADORE - 88.694, Min Max: ACUTE - 231)   ADORE - Avg: 88.694, Max: 241
(Min Avg: ADORE - 88.694, Min Max: ACUTE - 231)   ADORN - Avg: 129.61, Max: 316
(Min Avg: ADORE - 88.694, Min Max: ACUTE - 231)   ADULT - Avg: 148.53, Max: 396
(Min Avg: ADORE - 88.694, Min Max: ACUTE - 231)   AFFIX - Avg: 543.44, Max: 808
(Min Avg: ADORE - 88.694, Min Max: ACUTE - 231)   AFIRE - Avg: 98.855, Max: 237
(Min Avg: ADORE - 88.694, Min Max: ACUTE - 231)   AFOOT - Avg: 299.56, Max: 545
(Min Avg: ADORE - 88.694, Min Max: ACUTE - 231)   AFOUL - Avg: 179.19, Max: 381
(Min Avg: ADORE - 88.694, Min Max: ACUTE - 231)   AFTER - Avg: 109.61, Max: 290
(Min Avg: ADORE - 88.694, Min Max: ACUTE - 231)   AGAIN - Avg: 295.39, Max: 614
(Min Avg: ADORE - 88.694, Min Max: ACUTE - 231)   AGAPE - Avg: 247.82, Max: 494
(Min Avg: ADORE - 88.694, Min Max: ACUTE - 231)   AGATE - Avg: 188.01, Max: 400
(Min Avg: ADORE - 88.694, Min Max: ACUTE - 231)   AGENT - Avg: 122.11, Max: 293
(Min Avg: ADORE - 88.694, Min Max: ACUTE - 231)   AGILE - Avg: 105.99, Max: 263
(Min Avg: ADORE - 88.694, Min Max: ACUTE - 231)   AGING - Avg: 334.58, Max: 614
(Min Avg: ADORE - 88.694, Min Max: ACUTE - 231)   AGLOW - Avg: 227.03, Max: 495
(Min Avg: ADORE - 88.694, Min Max: ACUTE - 231)   AGONY - Avg: 193.92, Max: 452
(Min Avg: ADORE - 88.694, Min Max: ACUTE - 231)   AGREE - Avg: 178.85, Max: 407
(Min Avg: ADORE - 88.694, Min Max: ACUTE - 231)   AHEAD - Avg: 249.80, Max: 448
(Min Avg: ADORE - 88.694, Min Max: AIDER - 220)   AIDER - Avg: 93.478, Max: 220
